,cif
0,"# generated using pymatgen
data_SrCa3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.25999935
_cell_length_b   6.25999982
_cell_length_c   6.25999922
_cell_angle_alpha   60.07306059
_cell_angle_beta   60.07305906
_cell_angle_gamma   60.07306027
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SrCa3
_chemical_formula_sum   'Sr1 Ca3'
_cell_volume   173.75061545
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sr  Sr0  1  0.75000000  0.87000000  0.09000000  1
  Ca  Ca1  1  -0.00000718  0.11999282  0.33999282  1
  Ca  Ca2  1  0.50000718  0.62000718  0.84000718  1
  Ca  Ca3  1  0.25000000  0.37000000  0.59000000  1
"
1,"# generated using pymatgen
data_HoGa2Ni3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.09321392
_cell_length_b   5.09321369
_cell_length_c   6.98944292
_cell_angle_alpha   135.91026796
_cell_angle_beta   135.91026668
_cell_angle_gamma   59.96551374
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HoGa2Ni3
_chemical_formula_sum   'Ho1 Ga2 Ni3'
_cell_volume   87.73170626
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ho  Ho0  1  0.26240807  0.98240807  0.41426963  1
  Ga  Ga1  1  0.79864522  0.51864521  0.21012938  1
  Ga  Ga2  1  0.48172365  0.20172365  0.24551930  1
  Ni  Ni3  1  0.98169766  0.20341819  0.75039664  1
  Ni  Ni4  1  0.48341820  0.70169767  0.75039666  1
  Ni  Ni5  1  0.98210722  0.70210723  0.74928839  1
"
2,"# generated using pymatgen
data_NdAl3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.51699491
_cell_length_b   6.51699480
_cell_length_c   4.62294354
_cell_angle_alpha   89.99999945
_cell_angle_beta   90.00000053
_cell_angle_gamma   119.74724245
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NdAl3
_chemical_formula_sum   'Nd2 Al6'
_cell_volume   170.46863345
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nd  Nd0  1  0.06909792  0.82090211  0.57000000  1
  Nd  Nd1  1  0.40090209  0.48909790  0.07000000  1
  Al  Al2  1  0.87366429  0.43513550  0.07000000  1
  Al  Al3  1  0.45486449  1.01633571  0.07000000  1
  Al  Al4  1  0.87515332  1.01484668  0.07000000  1
  Al  Al5  1  0.59633571  0.87486449  0.57000000  1
  Al  Al6  1  0.01513550  0.29366429  0.57000000  1
  Al  Al7  1  0.59484668  0.29515333  0.57000000  1
"
3,"# generated using pymatgen
data_HoMg3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.65548390
_cell_length_b   5.65548386
_cell_length_c   5.66006227
_cell_angle_alpha   131.32783530
_cell_angle_beta   131.32783409
_cell_angle_gamma   71.25440324
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HoMg3
_chemical_formula_sum   'Ho1 Mg3'
_cell_volume   99.95340191
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ho  Ho0  1  0.79000000  0.72000000  0.70000000  1
  Mg  Mg1  1  0.29000000  0.22000000  0.70000000  1
  Mg  Mg2  1  0.53990546  0.97009454  0.20000000  1
  Mg  Mg3  1  0.04009454  0.46990545  0.20000000  1
"
4,"# generated using pymatgen
data_Tm2TlGa
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.18176426
_cell_length_b   5.18176424
_cell_length_c   5.18176416
_cell_angle_alpha   59.58666727
_cell_angle_beta   59.58666706
_cell_angle_gamma   59.58666683
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Tm2TlGa
_chemical_formula_sum   'Tm2 Tl1 Ga1'
_cell_volume   97.45818338
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tm  Tm0  1  0.47991526  0.22991526  0.48991526  1
  Tm  Tm1  1  0.98008474  0.73008474  0.99008474  1
  Tl  Tl2  1  0.23000000  0.98000000  0.24000000  1
  Ga  Ga3  1  0.73000000  0.48000000  0.74000000  1
"
5,"# generated using pymatgen
data_Cs2LiTmF6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.30492321
_cell_length_b   6.30492289
_cell_length_c   6.30492338
_cell_angle_alpha   59.92340151
_cell_angle_beta   59.92340046
_cell_angle_gamma   59.92340548
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cs2LiTmF6
_chemical_formula_sum   'Cs2 Li1 Tm1 F6'
_cell_volume   176.91683302
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cs  Cs0  1  0.48997763  0.93997762  0.28997762  1
  Cs  Cs1  1  0.99002238  0.44002238  0.79002238  1
  Li  Li2  1  0.74000000  0.19000000  0.54000000  1
  Tm  Tm3  1  0.23999999  0.69000001  0.03999999  1
  F  F4  1  0.48358757  0.44673889  0.79673889  1
  F  F5  1  -0.00326111  0.44673889  0.28358757  1
  F  F6  1  -0.00326111  0.93358758  0.79673889  1
  F  F7  1  -0.00358758  0.93326111  0.28326111  1
  F  F8  1  0.48326112  0.44641241  0.28326112  1
  F  F9  1  0.48326111  0.93326111  0.79641242  1
"
6,"# generated using pymatgen
data_GdPd2Pb
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.92321783
_cell_length_b   4.92563255
_cell_length_c   4.92563248
_cell_angle_alpha   59.98963652
_cell_angle_beta   59.88859679
_cell_angle_gamma   59.88859684
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GdPd2Pb
_chemical_formula_sum   'Gd1 Pd2 Pb1'
_cell_volume   84.31227569
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Gd  Gd0  1  0.73011774  0.26871864  0.13871864  1
  Pd  Pd1  1  0.97986459  0.51159049  0.38159050  1
  Pd  Pd2  1  0.47984682  0.01156957  0.88156956  1
  Pb  Pb3  1  0.23017085  0.76812130  0.63812130  1
"
7,"# generated using pymatgen
data_Y2CdIn
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.31861750
_cell_length_b   5.31861760
_cell_length_c   5.31861757
_cell_angle_alpha   59.96778904
_cell_angle_beta   59.96778922
_cell_angle_gamma   59.96778878
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Y2CdIn
_chemical_formula_sum   'Y2 Cd1 In1'
_cell_volume   106.30750952
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Y  Y0  1  0.24003951  0.03003951  0.21003952  1
  Y  Y1  1  0.73996049  0.52996049  0.70996049  1
  Cd  Cd2  1  0.49000000  0.28000000  0.46000000  1
  In  In3  1  0.99000000  0.78000000  0.96000000  1
"
8,"# generated using pymatgen
data_Ti2MnCo
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.19980249
_cell_length_b   4.19980263
_cell_length_c   4.19980263
_cell_angle_alpha   59.94210735
_cell_angle_beta   59.94210706
_cell_angle_gamma   59.94210775
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti2MnCo
_chemical_formula_sum   'Ti2 Mn1 Co1'
_cell_volume   52.31196179
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.03007555  0.11007556  0.18007556  1
  Ti  Ti1  1  0.52992444  0.60992445  0.67992444  1
  Mn  Mn2  1  0.28000000  0.36000000  0.43000000  1
  Co  Co3  1  0.78000000  0.86000000  0.93000000  1
"
9,"# generated using pymatgen
data_Mg2IrPt2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.20671786
_cell_length_b   7.06165464
_cell_length_c   7.64772666
_cell_angle_alpha   158.17247634
_cell_angle_beta   105.19413259
_cell_angle_gamma   73.62511599
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mg2IrPt2
_chemical_formula_sum   'Mg2 Ir1 Pt2'
_cell_volume   81.04463122
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.71670327  0.61166031  0.01293542  1
  Mg  Mg1  1  0.47553380  0.06340332  0.01650707  1
  Ir  Ir2  1  -0.09956047  0.71378807  0.50052238  1
  Pt  Pt3  1  0.29631141  -0.05609296  0.50676826  1
  Pt  Pt4  1  1.07101200  0.39724126  0.56326687  1
"
10,"# generated using pymatgen
data_Li4Mg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.31586384
_cell_length_b   5.31580987
_cell_length_c   6.93727611
_cell_angle_alpha   130.25479797
_cell_angle_beta   130.25492645
_cell_angle_gamma   45.86267125
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li4Mg
_chemical_formula_sum   'Li4 Mg1'
_cell_volume   100.24538976
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.51859707  0.29457632  0.53847879  1
  Li  Li1  1  0.71407249  0.49000084  0.15933408  1
  Li  Li2  1  0.11214736  0.88820513  0.34785154  1
  Li  Li3  1  0.31555146  0.09149690  0.95202596  1
  Mg  Mg4  1  0.91963162  0.69572080  0.75230962  1
"
11,"# generated using pymatgen
data_NdPd4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.59421075
_cell_length_b   5.67293708
_cell_length_c   8.57889879
_cell_angle_alpha   60.20271063
_cell_angle_beta   89.99999776
_cell_angle_gamma   90.00000077
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NdPd4
_chemical_formula_sum   'Nd2 Pd8'
_cell_volume   194.02806263
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nd  Nd0  1  0.32000000  -0.02046411  0.55105486  1
  Nd  Nd1  1  0.82000000  0.52133227  0.15573670  1
  Pd  Pd2  1  0.82000001  1.10806136  0.73239976  1
  Pd  Pd3  1  0.32000000  0.83101680  0.26015189  1
  Pd  Pd4  1  0.32000000  0.42351804  0.63802416  1
  Pd  Pd5  1  0.32000000  0.89912386  -0.06984371  1
  Pd  Pd6  1  0.82000000  0.67269598  0.44548464  1
  Pd  Pd7  1  0.81999999  0.07821432  0.06760301  1
  Pd  Pd8  1  0.82000001  0.60242659  0.77607194  1
  Pd  Pd9  1  0.32000000  0.39407489  -0.02668326  1
"
12,"# generated using pymatgen
data_Ho3Ge
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.69609566
_cell_length_b   4.69609573
_cell_length_c   4.69609593
_cell_angle_alpha   90.00000022
_cell_angle_beta   90.00000409
_cell_angle_gamma   90.00000081
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ho3Ge
_chemical_formula_sum   'Ho3 Ge1'
_cell_volume   103.56448172
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ho  Ho0  1  0.96000000  0.81000000  0.18000000  1
  Ho  Ho1  1  0.46000000  0.31000000  0.18000000  1
  Ho  Ho2  1  0.46000000  0.81000000  0.68000000  1
  Ge  Ge3  1  0.96000000  0.31000000  0.68000000  1
"
13,"# generated using pymatgen
data_Tb2CuIr
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.90152519
_cell_length_b   4.90152523
_cell_length_c   4.90152517
_cell_angle_alpha   59.77997110
_cell_angle_beta   59.77997021
_cell_angle_gamma   59.77997064
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Tb2CuIr
_chemical_formula_sum   'Tb2 Cu1 Ir1'
_cell_volume   82.85214881
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tb  Tb0  1  0.45003946  0.27003946  0.94003946  1
  Tb  Tb1  1  0.94996055  0.76996054  0.43996054  1
  Cu  Cu2  1  0.70000000  0.52000000  0.19000000  1
  Ir  Ir3  1  0.20000000  0.02000000  0.69000000  1
"
14,"# generated using pymatgen
data_CeInAs
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.26632868
_cell_length_b   5.26687464
_cell_length_c   5.95514780
_cell_angle_alpha   90.04784051
_cell_angle_beta   90.00652323
_cell_angle_gamma   119.97603799
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CeInAs
_chemical_formula_sum   'Ce2 In2 As2'
_cell_volume   143.08321770
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ce  Ce0  1  0.36439741  0.03234001  0.87786643  1
  Ce  Ce1  1  0.03110734  0.36592055  0.37783736  1
  In  In2  1  0.69522726  0.69392266  0.64732813  1
  In  In3  1  0.69550971  0.69371899  0.14728086  1
  As  As4  1  0.02995195  0.36363589  0.87484010  1
  As  As5  1  0.36380634  0.03046190  0.37484711  1
"
15,"# generated using pymatgen
data_Ta(VAs2)4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.07707015
_cell_length_b   6.03459080
_cell_length_c   5.83614886
_cell_angle_alpha   78.97069413
_cell_angle_beta   97.65563141
_cell_angle_gamma   89.91196700
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ta(VAs2)4
_chemical_formula_sum   'Ta1 V4 As8'
_cell_volume   242.36785927
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ta  Ta0  1  0.06526151  0.90667004  0.14145975  1
  V  V1  1  0.67609285  0.47827655  0.60786026  1
  V  V2  1  0.15997992  1.06949568  0.57712011  1
  V  V3  1  0.65922269  0.92003716  0.16882937  1
  V  V4  1  0.11239483  0.42716747  0.17259829  1
  As  As5  1  0.79709805  0.64816532  0.96157922  1
  As  As6  1  0.47954002  0.16343818  0.78472064  1
  As  As7  1  0.40608710  0.65470887  0.30314773  1
  As  As8  1  0.82822910  0.24263258  0.35381794  1
  As  As9  1  0.90100478  0.78974096  0.51905347  1
  As  As10  1  0.36971886  0.14864944  0.20237447  1
  As  As11  1  0.22773801  0.70732290  0.85554358  1
  As  As12  1  0.97763227  0.26369485  0.82189518  1
"
16,"# generated using pymatgen
data_TbTmCu2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.88317972
_cell_length_b   4.88317976
_cell_length_c   4.88317969
_cell_angle_alpha   59.81145747
_cell_angle_beta   59.81145898
_cell_angle_gamma   59.81145723
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TbTmCu2
_chemical_formula_sum   'Tb1 Tm1 Cu2'
_cell_volume   81.98425643
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tb  Tb0  1  0.91000000  0.46000000  0.38000000  1
  Tm  Tm1  1  0.41000000  0.96000000  0.88000000  1
  Cu  Cu2  1  0.66000045  0.21000045  0.13000045  1
  Cu  Cu3  1  0.15999955  0.70999955  0.62999955  1
"
17,"# generated using pymatgen
data_La2ZnIn
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.49493211
_cell_length_b   5.49493215
_cell_length_c   5.49493208
_cell_angle_alpha   59.76420069
_cell_angle_beta   59.76420100
_cell_angle_gamma   59.76420075
_symmetry_Int_Tables_number   1
_chemical_formula_structural   La2ZnIn
_chemical_formula_sum   'La2 Zn1 In1'
_cell_volume   116.69184949
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La  La0  1  0.96992526  0.45992526  0.30992527  1
  La  La1  1  0.47007474  0.96007474  0.81007474  1
  Zn  Zn2  1  0.22000000  0.71000000  0.56000000  1
  In  In3  1  0.72000000  0.21000000  0.06000000  1
"
18,"# generated using pymatgen
data_ZrGaRu2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.48328767
_cell_length_b   4.48328770
_cell_length_c   4.48065870
_cell_angle_alpha   60.05630865
_cell_angle_beta   60.05630831
_cell_angle_gamma   60.05742314
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ZrGaRu2
_chemical_formula_sum   'Zr1 Ga1 Ru2'
_cell_volume   63.76430444
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.54298091  0.20701909  0.32000000  1
  Ga  Ga1  1  0.04160664  0.70839336  0.82000000  1
  Ru  Ru2  1  0.29778469  0.95237224  0.07014775  1
  Ru  Ru3  1  0.79762776  0.45221530  0.56985225  1
"
